Linux 5.0.0-31-generic (yong) 	11/21/19 	_x86_64_	(48 CPU)

18:33:09        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:11          0     56.37      0.00     12.75      0.00      0.00     30.88
18:33:11          2     56.41      0.00     11.28      0.00      0.00     32.31
18:33:11          4     54.00      0.00     13.50      0.00      0.00     32.50
18:33:11          6     55.78      0.00     12.06      0.00      0.00     32.16
18:33:11          8     53.85      0.00     12.82      0.00      0.00     33.33
18:33:11         10     51.56      0.00     14.06      0.00      0.00     34.38
18:33:11         12     54.08      0.00     13.78      0.00      0.00     32.14
18:33:11         14     53.81      0.00     13.71      0.00      0.00     32.49
18:33:11         16     52.74      0.00     14.43      0.00      0.00     32.84
18:33:11         18     50.52      0.00     16.67      0.00      0.00     32.81
18:33:11         20     53.00      0.00     14.50      0.00      0.00     32.50
18:33:11         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:11        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:13          0     51.79      0.00     15.90      0.00      0.00     32.31
18:33:13          2     54.36      0.00     13.33      0.00      0.00     32.31
18:33:13          4     54.50      0.00     14.00      0.00      0.00     31.50
18:33:13          6     57.43      0.00     11.88      0.00      0.00     30.69
18:33:13          8     52.55      0.00     15.31      0.00      0.00     32.14
18:33:13         10     57.58      0.00     10.10      0.00      0.00     32.32
18:33:13         12     53.12      0.00     13.54      0.00      0.00     33.33
18:33:13         14     57.43      0.00     10.89      0.00      0.00     31.68
18:33:13         16     50.78      0.00     16.58      0.00      0.00     32.64
18:33:13         18     52.88      0.00     13.09      0.00      0.00     34.03
18:33:13         20     52.08      0.00     15.10      0.00      0.00     32.81
18:33:13         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:15          0     55.33      0.00     13.71      0.00      0.00     30.96
18:33:15          2     57.71      0.00     11.44      0.00      0.00     30.85
18:33:15          4     55.78      0.00     12.56      0.00      0.00     31.66
18:33:15          6     55.22      0.00     13.43      0.00      0.00     31.34
18:33:15          8     56.16      0.00     12.32      0.00      0.00     31.53
18:33:15         10     56.35      0.00     11.17      0.00      0.00     32.49
18:33:15         12     53.00      0.00     15.00      0.00      0.00     32.00
18:33:15         14     56.65      0.00     12.81      0.00      0.00     30.54
18:33:15         16     50.79      0.00     15.18      0.00      0.00     34.03
18:33:15         18     55.67      0.00     12.32      0.00      0.00     32.02
18:33:15         20     57.42      0.00     12.92      0.00      0.00     29.67
18:33:15         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:15        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:17          0     53.16      0.00     13.16      0.00      0.00     33.68
18:33:17          2     52.26      0.00     15.58      0.00      0.00     32.16
18:33:17          4     54.12      0.00     12.89      0.00      0.00     32.99
18:33:17          6     54.68      0.00     13.79      0.00      0.00     31.53
18:33:17          8     51.53      0.00     15.31      0.00      0.00     33.16
18:33:17         10     52.26      0.00     14.57      0.00      0.00     33.17
18:33:17         12     54.73      0.00     13.43      0.00      0.00     31.84
18:33:17         14     56.48      0.00     10.88      0.00      0.00     32.64
18:33:17         16     53.27      0.00     14.57      0.00      0.00     32.16
18:33:17         18     54.59      0.00     12.76      0.00      0.00     32.65
18:33:17         20     53.54      0.00     13.64      0.00      0.00     32.83
18:33:17         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:19          0     54.46      0.00     13.86      0.00      0.00     31.68
18:33:19          2     55.33      0.00     13.71      0.00      0.00     30.96
18:33:19          4     54.50      0.00     14.50      0.00      0.00     31.00
18:33:19          6     53.03      0.00     14.14      0.00      0.00     32.83
18:33:19          8     54.50      0.00     14.00      0.00      0.00     31.50
18:33:19         10     53.47      0.00     13.86      0.00      0.00     32.67
18:33:19         12     56.72      0.00     12.44      0.00      0.00     30.85
18:33:19         14     54.45      0.00     12.57      0.00      0.00     32.98
18:33:19         16     53.65      0.00     13.02      0.00      0.00     33.33
18:33:19         18     53.93      0.00     13.09      0.00      0.00     32.98
18:33:19         20     54.27      0.00     13.57      0.00      0.00     32.16
18:33:19         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:21          0     54.77      0.00     12.06      0.00      0.00     33.17
18:33:21          2     53.54      0.00     13.13      0.00      0.00     33.33
18:33:21          4     54.68      0.00     13.30      0.00      0.00     32.02
18:33:21          6     52.31      0.00     14.36      0.00      0.00     33.33
18:33:21          8     55.50      0.00     12.50      0.00      0.00     32.00
18:33:21         10     55.44      0.00     10.36      0.00      0.00     34.20
18:33:21         12     55.00      0.00     12.00      0.00      0.00     33.00
18:33:21         14     54.36      0.00     12.82      0.00      0.00     32.82
18:33:21         16     52.02      0.00     14.14      0.00      0.00     33.84
18:33:21         18     54.69      0.00     11.46      0.00      0.00     33.85
