  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       4.000 |        8.155 |        0.697 |        8.851
       9.000 |        8.060 |        0.699 |        8.758
       6.000 |        7.782 |        0.410 |        8.193
       9.000 |        7.758 |        0.552 |        8.309
      12.000 |        7.762 |        2.709 |       10.471
      10.000 |        7.656 |        1.061 |        8.717
       7.000 |        7.801 |        0.549 |        8.350
      10.000 |        8.289 |        0.337 |        8.626
       8.000 |        7.882 |        0.694 |        8.575
       6.000 |        7.773 |        0.649 |        8.422
      11.000 |        7.775 |        0.615 |        8.390
       8.000 |        7.764 |        1.088 |        8.852
       7.000 |        7.757 |        0.710 |        8.466
       8.000 |        7.965 |        1.071 |        9.037
       8.000 |        7.722 |        0.787 |        8.509
      10.000 |        7.684 |        0.729 |        8.413
       4.000 |        7.949 |        0.482 |        8.430
      10.000 |        7.769 |        0.500 |        8.269
      10.000 |        7.850 |        0.503 |        8.353
       6.000 |        7.682 |        0.828 |        8.510
       5.000 |        7.856 |        0.955 |        8.811
      10.000 |        7.953 |        0.488 |        8.440
       6.000 |        7.719 |        0.353 |        8.072
       6.000 |        7.557 |        0.417 |        7.974
      13.000 |        7.508 |        0.281 |        7.789
      10.000 |        7.677 |        0.433 |        8.109
      12.000 |        8.014 |        1.093 |        9.107
      12.000 |        7.793 |        1.469 |        9.262
       6.000 |        7.949 |        1.413 |        9.362
       6.000 |        7.763 |        0.476 |        8.239
      10.000 |        8.036 |        1.644 |        9.680
      12.000 |        7.715 |        0.902 |        8.617
       4.000 |        7.683 |        1.079 |        8.762
       9.000 |        7.638 |        0.942 |        8.580
       7.000 |        7.965 |        0.562 |        8.527
      11.000 |        8.119 |        0.429 |        8.547
       6.000 |        7.842 |        1.008 |        8.849
       7.000 |        7.715 |        0.488 |        8.203
       9.000 |        7.830 |        1.018 |        8.848
      10.000 |        7.632 |        0.492 |        8.124
       5.000 |        7.670 |        0.486 |        8.156
       4.000 |        7.778 |        1.216 |        8.994
      14.000 |        7.876 |        0.167 |        8.043
      12.000 |        7.804 |        0.709 |        8.513
      10.000 |        8.024 |        0.526 |        8.549
       6.000 |        7.799 |        1.932 |        9.731
       8.000 |        7.879 |        1.212 |        9.092
       7.000 |        8.005 |        0.677 |        8.682
       7.000 |        8.162 |        0.404 |        8.566
       6.000 |        7.919 |        1.050 |        8.969
       6.000 |        8.120 |        0.807 |        8.926
      12.000 |        8.247 |        0.458 |        8.705
       8.000 |        7.786 |        2.427 |       10.213
      14.000 |        8.218 |        0.662 |        8.880
      10.000 |        8.270 |        0.420 |        8.690
       8.000 |        8.368 |        0.586 |        8.954
       7.000 |        8.510 |        0.299 |        8.809
       8.000 |        8.092 |        1.476 |        9.569
       6.000 |        8.192 |        1.452 |        9.644
       7.000 |        8.564 |        0.437 |        9.000
       8.000 |        8.104 |        2.394 |       10.497
       7.000 |        8.026 |        2.163 |       10.189
       9.000 |        8.103 |        1.915 |       10.018
      12.000 |        8.833 |        0.529 |        9.362
      12.000 |        8.792 |        0.758 |        9.549
       8.000 |        8.096 |        2.210 |       10.307
      10.000 |        8.797 |        0.435 |        9.232
      10.000 |        8.814 |        1.183 |        9.997
       9.000 |        8.792 |        1.133 |        9.925
      10.000 |        9.070 |        0.477 |        9.547
      10.000 |        9.143 |        0.435 |        9.579
       4.000 |        8.779 |        0.458 |        9.236
       6.000 |        8.980 |        0.799 |        9.779
      15.000 |        8.600 |        0.630 |        9.230
      10.000 |        8.725 |        0.525 |        9.250
      12.000 |        8.673 |        0.442 |        9.115
       7.000 |        8.590 |        0.469 |        9.059
       5.000 |        8.708 |        2.064 |       10.772
       7.000 |        8.971 |        1.349 |       10.320
       9.000 |        8.889 |        0.435 |        9.324
      11.000 |        8.692 |        0.816 |        9.507
       4.000 |        8.764 |        0.797 |        9.561
      10.000 |        8.874 |        0.540 |        9.413
       8.000 |        8.551 |        1.583 |       10.134
       8.000 |        9.240 |        0.407 |        9.647
       9.000 |        9.275 |        0.396 |        9.671
       7.000 |        9.045 |        0.914 |        9.959
       8.000 |        8.944 |        1.317 |       10.261
       7.000 |        9.364 |        0.799 |       10.162
       5.000 |        9.033 |        0.344 |        9.377
       9.000 |        9.182 |        0.423 |        9.606
       9.000 |        8.541 |        0.428 |        8.968
       9.000 |        8.596 |        0.450 |        9.046
       8.000 |        8.649 |        0.895 |        9.543
      12.000 |        8.716 |        0.365 |        9.081
       8.000 |        8.627 |        0.728 |        9.356
       7.000 |        8.782 |        0.644 |        9.426
      12.000 |        9.122 |        2.271 |       11.394
      10.000 |        8.261 |        0.364 |        8.625
       9.000 |        8.474 |        0.832 |        9.306
      11.000 |        8.566 |        1.494 |       10.060
      12.000 |        8.251 |        0.602 |        8.853
      11.000 |        9.325 |        2.524 |       11.848
       9.000 |        8.242 |        0.908 |        9.150
       9.000 |        8.427 |        0.527 |        8.955
       5.000 |        8.149 |        0.450 |        8.599
       6.000 |        8.345 |        0.650 |        8.996
       5.000 |        8.266 |        0.439 |        8.704
       6.000 |        8.212 |        0.459 |        8.672
      12.000 |        8.188 |        0.717 |        8.905
       8.000 |        8.290 |        1.015 |        9.304
       7.000 |        8.419 |        1.818 |       10.237
       9.000 |        8.474 |        0.559 |        9.034
       7.000 |        8.501 |        0.607 |        9.109
       7.000 |        8.516 |        0.625 |        9.141
       8.000 |        8.512 |        0.690 |        9.202
      14.000 |        8.316 |        1.117 |        9.433
      12.000 |        8.548 |        0.740 |        9.288
      16.000 |        8.283 |        0.442 |        8.725
